min_n_rule,cut_obs,cut_after_date,next_start_date,left_alpha,left_t,left_p,left_n,right_alpha,right_t,right_p,right_n,worst_p,min_alpha,all_positive_sig
40,113,2025-09-25,2025-09-26,0.18492577383667544,2.635629428280358,0.008398139108016853,113,0.1193647692077649,1.1544283549852261,0.24832459578404142,106,0.24832459578404142,0.1193647692077649,False
40,114,2025-09-26,2025-09-29,0.18747559613517029,2.6923203915898135,0.007095674324746889,114,0.12012880608068548,1.1506207453644002,0.24988829455586692,105,0.24988829455586692,0.12012880608068548,False
40,115,2025-09-29,2025-09-30,0.1895734603542547,2.74211063038032,0.006104577734556186,115,0.12028272103889673,1.1355686113963979,0.25613715172094853,104,0.25613715172094853,0.12028272103889673,False
40,116,2025-09-30,2025-10-01,0.17476855352326615,2.506630313962521,0.012188811869406483,116,0.12184982075399825,1.140059856066454,0.2542613650065425,103,0.2542613650065425,0.12184982075399825,False
40,117,2025-10-01,2025-10-02,0.1720219719765956,2.462577500474001,0.013794235735001506,117,0.12256170190426297,1.123203844994115,0.2613509299723541,102,0.2613509299723541,0.12256170190426297,False
40,118,2025-10-02,2025-10-03,0.18466840610424817,2.7041834995104654,0.00684724649411476,118,0.10628451998173002,0.9453886154965402,0.3444605121855796,101,0.3444605121855796,0.10628451998173002,False
40,119,2025-10-03,2025-10-06,0.1850333647137096,2.7132708088986552,0.006662263628830687,119,0.10956529644371125,0.96682445886648,0.3336317951199206,100,0.3336317951199206,0.10956529644371125,False
40,120,2025-10-06,2025-10-07,0.18381161879320296,2.681567514358159,0.007327812634174574,120,0.13712673589234484,1.224482850733308,0.22077013177451332,99,0.22077013177451332,0.13712673589234484,False
40,121,2025-10-07,2025-10-08,0.18970303640446312,2.7631036514163605,0.005725458141373253,121,0.13444695015427918,1.1783935862189923,0.23863973348057466,98,0.23863973348057466,0.13444695015427918,False
40,122,2025-10-08,2025-10-09,0.18390540817881598,2.6940724309846704,0.007058482396721417,122,0.152481431387582,1.3453826370499387,0.1785016994224785,97,0.1785016994224785,0.152481431387582,False
40,123,2025-10-09,2025-10-10,0.19166678600527756,2.802995963320978,0.005063030303986584,123,0.15664843171376697,1.3436357224394035,0.17906621202814665,96,0.17906621202814665,0.15664843171376697,False
40,124,2025-10-10,2025-10-13,0.19780070771995467,2.9854834651215962,0.0028313044442293653,124,0.15887467103866162,1.309744714989833,0.19028221129691514,95,0.19028221129691514,0.15887467103866162,False
40,125,2025-10-13,2025-10-14,0.1885501914570888,2.847297094337545,0.004409219212029938,125,0.17193471699520968,1.4511209883984675,0.1467461731076212,94,0.1467461731076212,0.17193471699520968,False
40,126,2025-10-14,2025-10-15,0.1858723054768134,2.7992622275138164,0.005121952336540607,126,0.17643656560426454,1.4826264659417194,0.13817368145443365,93,0.13817368145443365,0.17643656560426454,False
40,127,2025-10-15,2025-10-16,0.19098541915875036,2.889672469505413,0.003856433970134028,127,0.16546756762750625,1.3938866974231303,0.16335182195062747,92,0.16335182195062747,0.16546756762750625,False
40,128,2025-10-16,2025-10-17,0.18640724108079515,2.9357331274862304,0.0033276046604859967,128,0.1449809567548483,1.1842017895981567,0.23633319390191831,91,0.23633319390191831,0.1449809567548483,False
40,129,2025-10-17,2025-10-20,0.17575309317020227,2.7256504827411394,0.006417491526181515,129,0.16412728815786343,1.329810829371547,0.18358060697256973,90,0.18358060697256973,0.16412728815786343,False
40,130,2025-10-20,2025-10-21,0.17920819035946162,2.7990120863118753,0.00512592187495591,130,0.16035763215393514,1.3019895633232683,0.19291995337008339,89,0.19291995337008339,0.16035763215393514,False
